genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[96]IgrKdcBIEotwhcOcnHPtjcNcxEcIBucdHnQecbcckpnaCcDcIzicncQIQcccqHKcBcyjcJOdfRcqccrQcKMkzMtljvnIcykt",2.28183e+14,502.79,252,566,45,3, 184
"[98]cGfkbwcuccbxpbcNmcOBHcclcgyvdNIHKJcshHycaKccmcIcNBczcMcJNccPGccHcwccNcICcecIkqQBAusahcPHQjzjyDdODG",1.43711e+08,1.43711e+08,256,419,123,3, 185
"[92]LRMfGLcQHrQGQtiEtLzlBHtcJvccAyHycrpyemcmcBctyAFavaNdbIQKAKczbHNPRsHcpcqcsFKcjcxccKfqPzbhMizr",3.40019e+06,5254.83,749,403,166,2, 186
"[78]bLcOHhIBbEHKcmpqzmFHOegHIHxbxchcnCLGCnQeHNGnCczfboLvapzgeCxbGzIgbzCtoeClAIujkt",1.15611e+06,29146.5,2501,250,30,1, 187
"[101]BedOannICgJLFJbDtAPdlkorcqRohbAKdMLxuyQCNhcbuHPmAfynuuMDlhRDlmEcjlkwIAuNIdIejFpLDMwcqBObKcHOfiKeccdMG",6355.56,535.165,2604,248,110,0, 188
"[70]OFyiHHdHlnIIKniccbiJPGblcaFiOjyPcKouHQczvpNNxQIsKcHaIkOKMBBhcKLaIHQpHH",1.20972e+07,40028.9,1231,455,198,0, 189
"[95]AsNtpQcmKHLEnwzehKcPtxabiockmawMHpcmLHeaPAMagzfgckQkgcJHDABfNndIHgQcxuHgOAIocdBcongRkrheFlqCzHs",1.53126e+08,125439,871,595,298,2, 19
"[99]wibdMFElMGOrcKgEKctifoHyNcHMEepFdApjtbLagcxeINBdcclcBoyLQPantfKPtjmHNmFcCzEJLnoCapfbocuJHyLaaRwkwgQ",1.77027e+07,66503.4,486,362,99,3, 190
"[111]PsmcHtIoqwzHznGvOyavbvHluoIOGoIHKCLicPwrIfqRefugmoIpMyOOOqOfEysawGxcxscxKtLOdzJxjzBRgcHPhtQqhpozRFQdlswhuItxPvA",8.11815e+07,25672.6,360,287,0,0, 191
"[57]nfIKcinhdMtkscqrFelRpPAHOzyvNIKMrcIjeIhcpsifmRKaHsHHKcoqd",1.81908e+09,7.28135e+06,2855,391,55,0, 192
"[102]jvHtiOHMkjrEOrmNpyKuzoIIxKckHIocHqEvedfMKuhogDvmoopOGtqLgNmQMyIPPIsywAhwepMAvtNrhacsaioKPPlKHmPfvgjAAd",2.43128e+07,252105,2332,324,56,0, 193
"[89]mcquFdoDwaLzCcBloPqQwyEKycMFiFfwPIrcHhFKgLAssMcGzEcDHOCpvALBPMKQEwMjpENyoHPNLLwbcKftIHkgH",2.94111e+07,368923,1072,656,385,1, 194
"[103]KBfccPnIFyEiActMvMyzccIohtKggyRrRnLpPsjyLFdvyrkHKEcOloDcOxcqiwHrFbsytCcBcRcssDxyniMhcqccDLbakMKDlQaciem",4.97574e+06,443.054,262,350,107,1, 195
"[95]CxjsPccbJfNLiOOMhanBaLDvOLlxnuMkwrvenKOeiEcoebpcxoGdiMeDIusgcKoIHzaecBcQLvcIwpccebomHhcHINIHFAH",3.59029e+10,7.28135e+06,614,431,48,1, 196
"[102]IKcApAObmQdcLIPRgPalRKMcMHkzycOImHRCsEcJanzMIiaLhLaqHqnEECRmpjfjgcDNtzkcRPpPEkJdfvJhcegorjuqPbNFycihJI",195589,4931.09,2395,206,14,2, 197
"[95]jPeKCcnjclcachlPIgyccozcgackcfvKsMJQOMcGFcIyCcrvIgMnczRcccNDcBctIPtHucHdcHdLKycOcopecKpfcccEANq",9.2167e+07,11988.7,256,396,107,3, 198
"[102]ccNcbmcOohhKBccFjcKcvIclcIucmxzDcPDLecufboJIHuccsLLbfcFcicrcsFbcAcvsocdyDfJHCcHziDcKcRyIfKcoCmLkslhcLG",2.2408e+08,790032,272,400,97,0, 199
"[105]BiNsIFhcOrddevHfcmNfNHHLomrsvsQpHjmzztwxHycKDcNqcCchcrIcheIcrNjfzqnMuvJBNQANQKspAlufrthNQgagtOnmwMGpFgrNs",3.02231e+23,475524,429,952,100,1, 2
"[91]ElcQEysaLynKcuIKHPecdccfdccffcRpeLhMNqNvKOHMiwCchKMHnHFPjEbFRONjkKKflOGzgbfkgdQEpGBHOHoBbDc",2.88828e+08,575240,872,371,64,3, 20
"[93]zrxzNsxtDzhjKlGbDsDMfAmcslLazidQQfgbQutslltdcQaKccdyLcvKoIHqQctPcCQzBamBpcbpKhPajkIRbhkiebJnR",1.4634e+07,91335.2,1153,456,196,1, 200
"[91]qEyKLHNHHDnKmnacPapzDfADQvFoQHygaOGpfdfyNkQsQacbILnFeLPOdIHqIwhlyrmDoMEmPGDfDlJywjaPQjoJPPD",37567.1,5965.23,1716,192,26,0, 21
"[99]IDEOHQHioavHKcKhNcPILqtlfHakeRfaKvlOHFReaRjODwQzoyPdiJKyNzfoJejcGQfKAJMfJALoHRigdcdloJlsyCneaoqibyJ",2.76028e+07,172277,1192,599,329,0, 22
"[102]wccKcARAEuPIiccADRmDFGPfdcsQPvIvcLMQHmOjNNLdIPncxcIEHqMyKJggzpbBjNyEuKOswtuJDsDNvfvewhFpdhpERdpQLOFfsJ",9.73199e+11,117726,707,519,84,1, 23
"[72]pOgHIHQbIIHORPAIFrqxRQFOrLKjFbyzGDCdPPevADxwebhNhMoPfrGgEKHpFtMyPHHyHPAJ",741455,368923,2562,769,556,2, 24
"[93]NczpFKdgNryHsfcccHxmNGFxHtDerwcexfdccKcuOcepmIDciutfMHNMrHpxzcDcLcteCcQOtjabcobekAcMusNcIwIHf",1.34874e+08,9910.85,473,481,186,3, 25
"[63]PtHQIvbqjGHCqwsPfoFhpmwaMGyGeKhipNguqFitajcxupGvRvJbIeKjceHnIHH",268621,45445.9,2929,234,37,2, 26
"[95]PbJyIgbanIiccslKFcmKnHBcPcscwOzybdDnPzjrbsFsIupukkvHemDcasvctejEJKaOcxbsiQiHjbccccelKcRvyxxzIoG",1.24308e+09,896938,372,335,5,1, 27
