"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
43,2,7.14922e+16,7.14922e+16,NA,476,476,NA,97,97,NA,379,379,NA,143,"Pattern cycling"
43,3,9.90789e+15,9.90789e+15,NA,662,662,NA,8,8,NA,654,654,NA,143,"Pattern cycling"
44,0,1.30118e+21,1.30118e+21,NA,444,444,NA,21,21,NA,423,423,NA,170,"Pattern cycling"
44,1,4.08715e+19,4.08715e+19,NA,445,445,NA,4,4,NA,441,441,NA,170,"Pattern cycling"
44,2,7.55513e+19,7.55513e+19,NA,479,479,NA,32,32,NA,447,447,NA,170,"Pattern cycling"
44,3,4.76451e+15,4.76451e+15,NA,641,641,NA,0,0,NA,641,641,NA,170,"Pattern cycling"
45,0,1.85121e+19,1.85121e+19,NA,398,398,NA,12,12,NA,386,386,NA,168,"Pattern cycling"
45,1,5.01604e+19,5.01604e+19,NA,459,459,NA,16,16,NA,443,443,NA,168,"Pattern cycling"
45,2,2.11483e+24,2.11483e+24,NA,567,567,NA,20,20,NA,547,547,NA,168,"Pattern cycling"
45,3,1.91015e+13,1.91015e+13,NA,547,547,NA,4,4,NA,543,543,NA,168,"Pattern cycling"
46,0,1.33703e+14,1.33703e+14,NA,327,327,NA,44,44,NA,283,283,NA,67,"Pattern cycling"
46,1,1.61321e+13,1.61321e+13,NA,318,318,NA,21,21,NA,297,297,NA,67,"Pattern cycling"
46,2,1.70023e+14,1.70023e+14,NA,392,392,NA,72,72,NA,320,320,NA,67,"Pattern cycling"
46,3,5.81606e+11,5.81606e+11,NA,488,488,NA,7,7,NA,481,481,NA,67,"Pattern cycling"
47,0,8.37731e+15,8.37731e+15,NA,354,354,NA,35,35,NA,319,319,NA,113,"Pattern cycling"
47,1,7.92008e+16,7.92008e+16,NA,412,412,NA,32,32,NA,380,380,NA,113,"Pattern cycling"
47,2,1.79195e+15,1.79195e+15,NA,411,411,NA,68,68,NA,343,343,NA,113,"Pattern cycling"
47,3,1.27953e+12,1.27953e+12,NA,521,521,NA,26,26,NA,495,495,NA,113,"Pattern cycling"
48,0,1.32668e+16,1.32668e+16,NA,373,373,NA,50,50,NA,323,323,NA,76,"Pattern cycling"
