genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[97]icccoMhNOmhcHwwBcoOwcpcFnchkccczfsbaQgmOjsPGfOvnpLoHJHdFLJHgapnHeKjCcwivwHoscomcfOkHHgNPcvHixftng",2.8614e+10,3.99612e+08,705,378,44,3, 146
"[97]hucescpLNQctcLyQsPGHhkymHoccjvcLbHlcnocMHrxjaNcHMpePcDPcJJclcHpOabMfeKDacHHcknrLzxoyEJjjKdjlycfir",1.45833e+09,28478.6,353,363,82,2, 147
"[94]HpGdpuCdcHzFwecHcHKcDacJrMbgcFJqqFdFxcllchbKDLBhwDecpMiMtMgKxBHgcQsucNaenLsHxcOaotsccyfzMwrscQ",2.2549e+16,56685.7,333,611,64,1, 148
"[77]ddzhJqeafLHKraucHCcHPtiufKaPBtcQHjcdHqPueHdKuMErcHNckgcqcvHKlcPcuocebQLdmbOHy",1.56511e+10,259134,629,359,18,1, 149
"[91]aOcxhpKHlmcPdacaGgdNcJqffHpbDLHKdvHFKcwOrmwcJgHMcHHcHQMcPbBEecwcRBFgnlhPEdefvKgPucOwLHJBHrs",1.79613e+10,406624,813,500,157,1, 15
"[97]sodclHlgcscpcJdwpRclazeNGcicFzDcyCacBObhEnvGFplpEMctpRlfnwHvwQcdFksQnyccbHJcvHvcHDzQHcuLdJHlvaHQH",5.10823e+08,159188,428,374,129,0, 150
"[94]HJbKcsJNFhczHHJxbcMOcLQrHfHQfrBjcaicccHfrccocHslpajMHxcHdFzeNucQtOIcfxHnbniMcHRpcMjbQQzascacOG",4.12042e+11,7.44315e+13,294,490,119,3, 151
"[80]KbgpevPcHgcQHrPbFieeuecajyenEJCccwecffccDHmfvbazuwLldbmcQfcRHsdlRuAcEcHLcJxccHLd",1.38573e+09,35010.8,394,384,92,3, 152
"[101]ccGmccKjHmncvvffcccCcHHrQaccAcPccccccDgpPdncqcccKdzRcDcAcJOgJboeeiKJcANGjcFcxccreajcccbLxeMeczccfcpcc",1.25652e+20,12234.3,121,993,351,3, 153
"[85]sMEhHpcOEEodDyJpfcHCKHPjxbHEoDKBCsmsFutFfLDcnGqFlOcGinCmbHNJOvdpzrLvajhKEJHsJMxuHyHfn",1.59826e+16,2.49984e+06,835,608,66,1, 154
"[95]QIcvbncHsQbgHurbvagzcDbRbLFHvNfwzMapPzHkebLrkHalLePRorbrscJmcxFvpdbcnPxHDgjoOzHPcdJPJEbOmcFAgco",1.04382e+11,401768,808,403,93,0, 155
"[99]cCccccJczcKjncycpDbjzccnccjmBfaqccLcJQgcMgxadQckccsHpCyMNHHAcKAcwcHwKcOGfscctHcrahcMcsfbcHsccQcJeiv",6.54366e+06,10262.5,212,226,17,2, 156
"[83]KcpcdmLHocficMkcJpaissezQcoHPDpemDsLOllJpQiOvHBtrdfaddHDpBBJPKloFdHEwsccgMckuIHOObd",9.72417e+09,6.54366e+06,650,325,44,0, 157
"[103]JFHMGrcpccDDcsaefebHcigdKghcccrcoocEcfcQOJQcehMdAccEQhcscHcvOjEasDycHcPzcFLzHEcoccHxcckyBcrctjgPcrhsEao",9.8713e+15,159188,197,676,141,1, 158
"[100]EalNNBcccghBcvcHPFucHpcnBcKcxFcpQsaJRccMHatNgcNboojHczhgcjOcBcHBceRclkcHszwKbfjPgJffgmcvKmLwfvcHcHoG",1.21604e+12,4493.35,253,641,301,0, 159
"[78]sfccckcccKMtonwccnclRmqpzQNRvwcqlnCHqeQEFyQlHyxcoMJNEEBQcJccHKjJOlckcPcOHOAHdH",1.158e+09,169157,610,314,59,0, 16
"[99]szcAzfPcbzHJebcfkHJcQptcAOLMoLhcEcacjHtccaHcHHrcfOmcBaccLcBKclHJRAwFFnRcPcgcOzIpEBwkkDGKccHhmcvqccd",4.33693e+08,768668,324,282,39,0, 160
"[101]uaccxcccacHcvJLcHkBewrccmcBceHHcBccxbnjscMjaHLKcKcPJKcLvshPcccoPgwBcdnLccCcbOcQcqcccejctxnsclOrcxQccG",2.22875e+09,56686,184,308,45,0, 161
