genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[99]cncccKcfccccccPccccwHcccyCccccccHcqcJbccecccNccccctcccrccccKcccLccccccNcccccNNccccccKcccmccjcBccccJ",8.94162e+06,7.2602,56,275,5,1, 175
"[91]HchbkHHxHiaflxiHxtjacKicBcqcccPcdbccqnmnHhscjcHnNNwcHHzNgPcPpnHQEdrOcxHpOHeoHmIHKcCcwdMIMcG",3.06763e+12,2.38068e+08,402,647,162,1, 176
"[103]dcKccIKcPILGccEugcPccQicckbKceMqocJHccRomIvHtNpNegIcjcccRabAaEsrcdcmcgekceJenxAJaeckbccpcwknQjHlysJlopf",5.07324e+07,1.37791e+06,220,256,15,0, 177
"[95]HfmNgihMiiKcBnjymHLPccDOHckcticcxncbsccQEjdPNcAKxsfNHMlQpEtdQHHBcIrwcezqncGodxsRzQxyRccFpcejAFs",2.31395e+13,2637.26,315,520,102,0, 178
"[101]cQRccHjczccxccKchlHLevclcHccJcczzFczccclccRdlEOPBcckBClnnDccKoQcCvgcfDcccBzccAccBGHkccctcbmwHvacHgErG",4.47354e+08,1.13109e+12,117,349,13,1, 179
"[95]rHHHlcwomIHNpvcccHdHvnHcwxblHzcgyMirHcOGzRHxQkHQIjwfkcemHzNFbMecODccdmmNkkceccLIjcclLcAKcncHcHA",2.08947e+18,7.30502e+16,290,616,43,0, 18
"[97]sLbrpdclrzcCccjfchcBOcJHcoGHPFcwDedcPcpxJffHPcccEDccofHHcBcclkHocnwccjHvFHcHiKcbcExKcccJvcccoeicA",9.78123e+12,2.23929e+11,202,486,7,3, 180
"[102]HQiAlcHxrviucxgcKccyuccccpMxciCcOJkqOcslecFcliecdcxczcccgogAwcoHccEOdHGcPzActQvcqccCciccnbyErcmwyccMcv",1.33877e+18,9787.17,178,791,168,2, 181
"[102]FccccHAesoaHCdcnONvcNiccxcccHnccDRDcccBccHJvclcHHcaocvMGnkmcxcclcHvucmcsKaNcHgcHavrckczsfbfaPreLPisHcx",3.05663e+09,25832.5,352,585,259,2, 182
"[99]KPcQcFyObcFeHzfzFFIKcyKicxpmcaHcQDODccnPeccsOwIHhcHebuvdmccnOcJBzcCbhMpbcsHkQrwccHHcbcfRHcGcjuEccOI",1.37841e+09,149605,199,337,0,3, 183
"[87]HcMGcAPegNcncAqfcfczHHhcRhOPicawpccDBccjcoKHtnwHcucQczccKcgaePJMzhccLvLnHMnicLcwcIcfMcN",4.34369e+11,7.33072e+07,288,405,41,0, 184
"[102]blchcvcDcoccblHHFHQcIxccffHFvcecceccMcdcDrcccQMcCvupEbEqccBKkcoGsOuQcqNQcIHMcQHtECcIlfHcOHHAdzHarcpjMc",2.59214e+13,1.43739e+07,265,716,195,1, 185
"[91]vlcucqccHcQcecdcRocIEccppqacHncHIEKccsQcuHAcONcncAncvQcaycHggcHhcBcQycBtjcHHOKHiQcQcpfbqKMO",3.9223e+16,184649,210,675,156,0, 186
"[96]bQccccccdccIocLHucicfcxFcOPcfHmcQccyHencccBncqcMxpccOrevcppHwKPyrhzQlnMFchocceekcQanxcCcBwvppchF",6.5674e+16,11694.9,207,839,261,2, 187
"[90]lFrncHicauczzkcQmeMmrFHOHsccHkoIhfjNKoeGKDccdIsnhbHgHccMenHhicAgeCcbcNHolecoicAHEFcHzHaFvI",1.69025e+19,9.64193e+14,410,880,171,3, 188
"[99]FRcccHtccdcMcNMwcwccCcccQIvMcdcscHwloAcmHvmkdxcQcccGczAncIxLHcPcPccblzccKHCcscccwffkcHkccHHcccCcHMG",2.20238e+06,86260.5,146,231,13,2, 189
"[100]yfDEKcIHHjtjtpaoEuHfoHculxHvencsIEcHbFcLIapecsovbcRAJiIuGvGguexHgiNbcNagsgocHKcKOIMaLcHHqcDcolHrBpOL",7.01556e+18,9.82542e+16,528,1272,540,1, 19
"[93]czocccccPdnIcffkbcHcBEKoccIcfkhwPcccGwcHcQfdKLcHKcyPeccLCcckRPmLmcxcyAcczcIImcchMcoyDccccwteO",1.87171e+24,226551,148,1109,214,3, 190
"[100]cFAcHAcacMcHcwcLcHccccxvHjAOHJcccBccchcDcqcccocRAcccKcccqcfcBcQrwAcAcmcbOccczBccccctecccQcwtcOccccPG",1.72806e+06,3.65592e+06,100,247,17,3, 191
"[90]IcrcccItLawcxcDcKPcccGcHegzJccMcrccecpLHcHucObGMcJecHijcKcxcccLtowNcHHchcuLalHbcjrczICccFL",3.80636e+19,94491.1,152,1057,335,3, 192
"[101]cgHsHcDcczcftciccxcEDLjecEccclDPMcFdtccNjcHjcDccdDcwwHKcRjcpeGdyncFIuRIccceNcPQccccccLcsdxccIcKqKcGrb",1.43854e+26,9.33096e+06,166,1122,106,1, 193
"[96]hcgfjcccBcrHMGcxHOtHLcccPbcRwMGFcRHNcHhrLcxhcaPdcceKmescccQIHpcRpBxcuPGvKIxcsMjFHoeHdzzDccHxxQcy",7.51465e+13,5.39489e+09,339,467,33,0, 194
"[101]cAkLcctcNyzcbxjvcHfcctccckcLsBcczcHczHyccxuzPnLcudpjkcFccccKcaFcczRkxygcIccudbcLcJpsJaOcmcucKcFcgfJMG",6.05745e+15,3.03027e+07,143,893,280,1, 195
